name,index,weights_shape,weights_dtype,padding,stride_h,stride_w,kernel_h,kernel_w,shape,input_tensor_name,weight_tensor_name,bias_tensor_name,output_tensor_name
QUANTIZE_0,0,,,,,,,,,input_0_f.1,,,input.4_te_transform
PAD_1,1,,,,,,,,,"['input.4_te_transform', 'input.4_te_transform_1_te_attr_2']",,,input.4_te_transform_1_te_transform_2
CONV_2D_2,2,[64  3  3  3],0,1,2,2,,,,input.4_te_transform_1_te_transform_2,fuse_attr_1,fuse_attr_22,input.6_te_transform
PAD_3,3,,,,,,,,,"['input.6_te_transform', 'input.6_te_transform_1_te_attr_2']",,,input.6_te_transform_1_te_transform_2
DEPTHWISE_CONV_2D_4,4,[ 1  3  3 64],0,1,2,2,,,,input.6_te_transform_1_te_transform_2,fuse_attr_2,input.30_te_transform,input.8_te_transform
CONV_2D_5,5,[96  1  1 64],0,1,1,1,,,,input.8_te_transform,fuse_attr_3,gap.1_attr,input.10_te_transform
DEPTHWISE_CONV_2D_6,6,[ 1  3  3 96],0,0,1,1,,,,input.10_te_transform,fuse_attr_4,input.84_te_transform,input.12_te_transform
CONV_2D_7,7,[96  1  1 96],0,1,1,1,,,,input.12_te_transform,fuse_attr_5,fuse_attr_8,input.14_te_transform
PAD_8,8,,,,,,,,,"['input.14_te_transform', 'input.14_te_transform_1_te_attr_2']",,,input.14_te_transform_1_te_transform_2
DEPTHWISE_CONV_2D_9,9,[ 1  3  3 96],0,1,2,2,,,,input.14_te_transform_1_te_transform_2,fuse_attr_6,fuse_attr_10,input.16_te_transform
CONV_2D_10,10,[192   1   1  96],0,1,1,1,,,,input.16_te_transform,fuse_attr_7,fuse_attr_27,input.18_te_transform
DEPTHWISE_CONV_2D_11,11,[  1   3   3 192],0,0,1,1,,,,input.18_te_transform,fuse_attr_8,input.44_attr_1,input.20_te_transform
CONV_2D_12,12,[192   1   1 192],0,1,1,1,,,,input.20_te_transform,fuse_attr_9,input.10_te_transform,input.22_te_transform
DEPTHWISE_CONV_2D_13,13,[  1   3   3 192],0,0,1,1,,,,input.22_te_transform,fuse_attr_10,fuse_attr_32,input.24_te_transform
CONV_2D_14,14,[192   1   1 192],0,1,1,1,,,,input.24_te_transform,fuse_attr_11,input.6_attr_1,input.26_te_transform
DEPTHWISE_CONV_2D_15,15,[  1   3   3 192],0,0,1,1,,,,input.26_te_transform,fuse_attr_12,input.18_te_transform,input.28_te_transform
CONV_2D_16,16,[192   1   1 192],0,1,1,1,,,,input.28_te_transform,fuse_attr_13,input.46_te_transform,input.30_te_transform
DEPTHWISE_CONV_2D_17,17,[  1   3   3 192],0,0,1,1,,,,input.30_te_transform,fuse_attr_14,input.26_te_transform,input.32_te_transform
CONV_2D_18,18,[192   1   1 192],0,1,1,1,,,,input.32_te_transform,fuse_attr_15,fuse_attr_19,input.34_te_transform
DEPTHWISE_CONV_2D_19,19,[  1   3   3 192],0,0,1,1,,,,input.34_te_transform,fuse_attr_16,fuse_attr_41,input.36_te_transform
CONV_2D_20,20,[192   1   1 192],0,1,1,1,,,,input.36_te_transform,fuse_attr_17,input.12_te_transform,input.38_te_transform
DEPTHWISE_CONV_2D_21,21,[  1   3   3 192],0,0,1,1,,,,input.38_te_transform,fuse_attr_18,input.4_te_transform_1_te_attr_2,input.40_te_transform
CONV_2D_22,22,[192   1   1 192],0,1,1,1,,,,input.40_te_transform,fuse_attr_19,input.46_te_transform_1_te_transform_2,input.42_te_transform
DEPTHWISE_CONV_2D_23,23,[  1   3   3 192],0,0,1,1,,,,input.42_te_transform,fuse_attr_20,input.62_attr_1,input.44_te_transform
CONV_2D_24,24,[192   1   1 192],0,1,1,1,,,,input.44_te_transform,fuse_attr_21,fuse_attr_23,input.46_te_transform
PAD_25,25,,,,,,,,,"['input.46_te_transform', 'input.46_te_transform_1_te_attr_2']",,,input.46_te_transform_1_te_transform_2
DEPTHWISE_CONV_2D_26,26,[  1   3   3 192],0,1,2,2,,,,input.46_te_transform_1_te_transform_2,fuse_attr_22,input.54_attr_1,input.48_te_transform
CONV_2D_27,27,[512   1   1 192],0,1,1,1,,,,input.48_te_transform,fuse_attr_23,fuse_attr_16,input.50_te_transform
DEPTHWISE_CONV_2D_28,28,[  1   3   3 512],0,0,1,1,,,,input.50_te_transform,fuse_attr_24,input.10_attr_1,input.52_te_transform
CONV_2D_29,29,[512   1   1 512],0,1,1,1,,,,input.52_te_transform,fuse_attr_25,fuse_attr_7,input.54_te_transform
