name,index,weights_shape,weights_dtype,padding,stride_h,stride_w,kernel_h,kernel_w,shape,input_tensor_name,weight_tensor_name,bias_tensor_name,output_tensor_name
QUANTIZE_0,0,,,,,,,,,x.1,,,input.26_te_transform
PAD_1,1,,,,,,,,,"['input.26_te_transform', 'input.26_te_transform_1_te_attr_2']",,,input.26_te_transform_1_te_transform_2
CONV_2D_2,2,[16  3  3  3],0,1,2,2,,,,input.26_te_transform_1_te_transform_2,fuse_attr_78,input0.10_te_attr_1,input.24_te_transform
PAD_3,3,,,,,,,,,"['input.24_te_transform', 'input.24_te_transform_1_te_attr_2']",,,input.24_te_transform_1_te_transform_2
CONV_2D_4,4,[32  3  3 16],0,1,2,2,,,,input.24_te_transform_1_te_transform_2,fuse_attr_79,input0.32_te_transform,163_te_transform
CONV_2D_5,5,[32  1  1 32],0,1,1,1,,,,163_te_transform,fuse_attr_80,fuse_transform_60,163_te_transform_1
TRANPOSE_6,6,,,,,,,,,"['163_te_transform_1', '163_te_attr']",,,163
SPLIT_7,7,,,,,,,,,706_attr,,,"['706', '707']"
TRANPOSE_8,8,,,,,,,,,"['707', 'input0.8_te_attr_1']",,,input0.8_te_transform
CONV_2D_9,9,[16  3  3 16],0,0,1,1,,,,input0.8_te_transform,fuse_attr_81,input0.9_attr_1,180_te_transform
CONV_2D_10,10,[16  3  3 16],0,0,1,1,,,,180_te_transform,fuse_attr_82,input0.6_te_transform,180_te_transform_1
TRANPOSE_11,11,,,,,,,,,"['180_te_transform_1', '180_te_attr']",,,180
ADD_12,12,,,,,,,,,"['707', '180']",,,181
CONCAT_13,13,,,,,,,,,"['706', '707', '181']",,,input0.26
TRANPOSE_14,14,,,,,,,,,"['input0.26', 'input0.10_te_attr_1']",,,input0.10_te_transform
CONV_2D_15,15,[32  1  1 48],0,1,1,1,,,,input0.10_te_transform,fuse_attr_83,544_attr_1,input.18_te_transform
PAD_16,16,,,,,,,,,"['input.18_te_transform', 'input.18_te_transform_1_te_attr_2']",,,input.18_te_transform_1_te_transform_2
CONV_2D_17,17,[64  3  3 32],0,1,2,2,,,,input.18_te_transform_1_te_transform_2,fuse_attr_84,285_te_transform,208_te_transform
CONV_2D_18,18,[64  1  1 64],0,1,1,1,,,,208_te_transform,fuse_attr_85,268_te_attr,208_te_transform_1
TRANPOSE_19,19,,,,,,,,,"['208_te_transform_1', '208_te_attr']",,,208
SPLIT_20,20,,,,,,,,,708_attr,,,"['708', '709']"
TRANPOSE_21,21,,,,,,,,,"['709', 'input0.12_te_attr_1']",,,input0.12_te_transform
CONV_2D_22,22,[32  3  3 32],0,0,1,1,,,,input0.12_te_transform,fuse_attr_86,180_te_attr,225_te_transform
CONV_2D_23,23,[32  3  3 32],0,0,1,1,,,,225_te_transform,fuse_attr_87,fuse_attr_126,225_te_transform_1
TRANPOSE_24,24,,,,,,,,,"['225_te_transform_1', '225_te_attr']",,,225
ADD_25,25,,,,,,,,,"['709', '225']",,,input0.16
TRANPOSE_26,26,,,,,,,,,"['input0.16', 'input.22_te_attr_1']",,,input.22_te_transform
CONV_2D_27,27,[32  3  3 32],0,0,1,1,,,,input.22_te_transform,fuse_attr_88,377_attr_3,240_te_transform
CONV_2D_28,28,[32  3  3 32],0,0,1,1,,,,240_te_transform,fuse_attr_89,516_attr_1,240_te_transform_1
TRANPOSE_29,29,,,,,,,,,"['240_te_transform_1', '240_te_attr']",,,240
ADD_30,30,,,,,,,,,"['input0.16', '240']",,,241
CONCAT_31,31,,,,,,,,,"['708', '709', 'input0.16', '241']",,,input0.18
TRANPOSE_32,32,,,,,,,,,"['input0.18', 'input0.20_te_attr_1']",,,input0.20_te_transform
CONV_2D_33,33,[ 64   1   1 128],0,1,1,1,,,,input0.20_te_transform,fuse_attr_90,input.24_attr_1,input0.20_te_transform_1
PAD_34,34,,,,,,,,,"['input0.20_te_transform_1', 'input.10_te_transform_1_te_attr_2']",,,input.10_te_transform_1_te_transform_2
CONV_2D_35,35,[128   3   3  64],0,1,2,2,,,,input.10_te_transform_1_te_transform_2,fuse_attr_91,713,268_te_transform
CONV_2D_36,36,[128   1   1 128],0,1,1,1,,,,268_te_transform,fuse_attr_92,649_te_transform,268_te_transform_1
TRANPOSE_37,37,,,,,,,,,"['268_te_transform_1', '268_te_attr']",,,268
SPLIT_38,38,,,,,,,,,710_attr,,,"['710', '711']"
TRANPOSE_39,39,,,,,,,,,"['711', 'input0.6_te_attr_1']",,,input0.6_te_transform
CONV_2D_40,40,[64  3  3 64],0,0,1,1,,,,input0.6_te_transform,fuse_attr_93,fuse_attr_110,285_te_transform
CONV_2D_41,41,[64  3  3 64],0,0,1,1,,,,285_te_transform,fuse_attr_94,fuse_attr_112,285_te_transform_1
TRANPOSE_42,42,,,,,,,,,"['285_te_transform_1', '285_te_attr']",,,285
ADD_43,43,,,,,,,,,"['711', '285']",,,input0.24
TRANPOSE_44,44,,,,,,,,,"['input0.24', 'input.28_te_attr_1']",,,input.28_te_transform
CONV_2D_45,45,[64  3  3 64],0,0,1,1,,,,input.28_te_transform,fuse_attr_95,fuse_transform_50,300_te_transform
CONV_2D_46,46,[64  3  3 64],0,0,1,1,,,,300_te_transform,fuse_attr_96,fuse_attr_128,300_te_transform_1
TRANPOSE_47,47,,,,,,,,,"['300_te_transform_1', '300_te_attr']",,,300
ADD_48,48,,,,,,,,,"['input0.24', '300']",,,301
CONCAT_49,49,,,,,,,,,"['710', '711', 'input0.24', '301']",,,input0.22
TRANPOSE_50,50,,,,,,,,,"['input0.22', 'input0.23_te_attr_1']",,,input0.23_te_transform
CONV_2D_51,51,[128   1   1 256],0,1,1,1,,,,input0.23_te_transform,fuse_attr_97,268,input0.23_te_transform_1
PAD_52,52,,,,,,,,,"['input0.23_te_transform_1', 'input.14_te_transform_1_te_attr_2']",,,input.14_te_transform_1_te_transform_2
CONV_2D_53,53,[256   3   3 128],0,1,2,2,,,,input.14_te_transform_1_te_transform_2,fuse_attr_98,fuse_attr_91,327_te_transform
CONV_2D_54,54,[256   1   1 256],0,1,1,1,,,,327_te_transform,fuse_attr_99,300_te_attr,327_te_transform_1
TRANPOSE_55,55,,,,,,,,,"['327_te_transform_1', '327_te_attr']",,,327
SPLIT_56,56,,,,,,,,,712_attr,,,"['712', '713']"
TRANPOSE_57,57,,,,,,,,,"['713', 'input0.30_te_attr_1']",,,input0.30_te_transform
CONV_2D_58,58,[128   3   3 128],0,0,1,1,,,,input0.30_te_transform,fuse_attr_100,input.13_attr_1,344_te_transform
CONV_2D_59,59,[128   3   3 128],0,0,1,1,,,,344_te_transform,fuse_attr_101,input0.9_te_transform_1,344_te_transform_1
TRANPOSE_60,60,,,,,,,,,"['344_te_transform_1', '344_te_attr']",,,344
ADD_61,61,,,,,,,,,"['713', '344']",,,345
CONCAT_62,62,,,,,,,,,"['712', '713', '345']",,,input0.28
TRANPOSE_63,63,,,,,,,,,"['input0.28', 'input0.14_te_attr_1']",,,input0.14_te_transform
