name,index,shape,quantization_parameters,sparsity_parameters,dtype,quantization,shape_signature
fuse_attr_12,0,[  1   3   3 192],"{'scales': array([0.00856093], dtype=float32), 'zero_points': array([128], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.008560928516089916, 128)",[  1   3   3 192]
input.18_te_transform,1,[  1  28  28 192],"{'scales': array([0.06881019], dtype=float32), 'zero_points': array([0], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.06881018728017807, 0)",[  1  28  28 192]
756,2,[   1 1280],"{'scales': array([0.18627396], dtype=float32), 'zero_points': array([0], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.1862739622592926, 0)",[   1 1280]
input.6_te_transform_1_te_attr_2,3,[4 2],"{'scales': array([], dtype=float32), 'zero_points': array([], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.int32'>,"(0.0, 0)",[4 2]
input.8_attr_1,4,[96],"{'scales': array([0.00118922], dtype=float32), 'zero_points': array([0], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.int32'>,"(0.0011892198817804456, 0)",[96]
input.56_attr_1,5,[512],"{'scales': array([0.0014583], dtype=float32), 'zero_points': array([0], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.int32'>,"(0.0014583024894818664, 0)",[512]
input.80_te_transform,6,[  1  14  14 512],"{'scales': array([0.17790113], dtype=float32), 'zero_points': array([0], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.17790113389492035, 0)",[  1  14  14 512]
fuse_attr_6,7,[ 1  3  3 96],"{'scales': array([0.00858448], dtype=float32), 'zero_points': array([128], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.008584484457969666, 128)",[ 1  3  3 96]
fuse_attr_10,8,[  1   3   3 192],"{'scales': array([0.0083168], dtype=float32), 'zero_points': array([128], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.008316801860928535, 128)",[  1   3   3 192]
fuse_attr_32,9,[  1   3   3 512],"{'scales': array([0.00882115], dtype=float32), 'zero_points': array([128], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.008821147494018078, 128)",[  1   3   3 512]
input_0_f.1,10,[  1 224 224   3],"{'scales': array([], dtype=float32), 'zero_points': array([], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.float32'>,"(0.0, 0)",[  1 224 224   3]
input.80_attr_1,11,[512],"{'scales': array([0.00161831], dtype=float32), 'zero_points': array([0], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.int32'>,"(0.001618311507627368, 0)",[512]
input.26_attr_1,12,[192],"{'scales': array([0.00033097], dtype=float32), 'zero_points': array([0], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.int32'>,"(0.00033096771221607924, 0)",[192]
fuse_attr_35,13,[512   1   1 512],"{'scales': array([0.00982324], dtype=float32), 'zero_points': array([128], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.009823239408433437, 128)",[512   1   1 512]
input.6_te_transform_1_te_transform_2,14,[  1 114 114  64],"{'scales': array([0.1974415], dtype=float32), 'zero_points': array([0], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.19744150340557098, 0)",[  1 114 114  64]
input.70_te_transform,15,[  1  14  14 512],"{'scales': array([0.4904694], dtype=float32), 'zero_points': array([0], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.49046939611434937, 0)",[  1  14  14 512]
input.68_attr_1,16,[512],"{'scales': array([0.00308946], dtype=float32), 'zero_points': array([0], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.int32'>,"(0.003089461475610733, 0)",[512]
input.74_attr_1,17,[512],"{'scales': array([0.00372705], dtype=float32), 'zero_points': array([0], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.int32'>,"(0.003727046772837639, 0)",[512]
input.38_te_transform,18,[  1  28  28 192],"{'scales': array([0.04489639], dtype=float32), 'zero_points': array([0], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.044896386563777924, 0)",[  1  28  28 192]
input.20_te_transform,19,[  1  28  28 192],"{'scales': array([0.04427044], dtype=float32), 'zero_points': array([0], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.04427044093608856, 0)",[  1  28  28 192]
input.14_te_transform_1_te_attr_2,20,[4 2],"{'scales': array([], dtype=float32), 'zero_points': array([], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.int32'>,"(0.0, 0)",[4 2]
input.76_te_transform,21,[  1  14  14 512],"{'scales': array([0.2755067], dtype=float32), 'zero_points': array([0], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.2755067050457001, 0)",[  1  14  14 512]
fuse_attr_42,22,[  1   3   3 512],"{'scales': array([0.01113046], dtype=float32), 'zero_points': array([128], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.011130464263260365, 128)",[  1   3   3 512]
fuse_attr_38,23,[  1   3   3 512],"{'scales': array([0.00816767], dtype=float32), 'zero_points': array([128], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.008167670108377934, 128)",[  1   3   3 512]
input.38_attr_1,24,[192],"{'scales': array([0.00034505], dtype=float32), 'zero_points': array([0], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.int32'>,"(0.00034504939685575664, 0)",[192]
Xq.1_attr,25,[1000 1280],"{'scales': array([0.01196401], dtype=float32), 'zero_points': array([128], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.011964010074734688, 128)",[1000 1280]
Xq.1,26,[   1 1000],"{'scales': array([0.08492726], dtype=float32), 'zero_points': array([37], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.0849272608757019, 37)",[   1 1000]
fuse_attr_29,27,[512   1   1 512],"{'scales': array([0.00798745], dtype=float32), 'zero_points': array([128], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.007987447082996368, 128)",[512   1   1 512]
fuse_attr_5,28,[96  1  1 96],"{'scales': array([0.00897816], dtype=float32), 'zero_points': array([128], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.008978158235549927, 128)",[96  1  1 96]
fuse_attr_8,29,[  1   3   3 192],"{'scales': array([0.00780266], dtype=float32), 'zero_points': array([128], dtype=int32), 'quantized_dimension': 0}",{},<class 'numpy.uint8'>,"(0.0078026605769991875, 128)",[  1   3   3 192]
